,Text,label
5018,what developed a crack in while tolling the death of chief justice,1
3563,what is the temperature for baking peachy,1
6595,the lawyer who represented what wa his name,1
1667,what is the definition of graphic detail,1
4250,the acting is beyond abysmal,0
3046,when i placed my treo into the case not only wa it not snug but there wa a lot of extra room on the side,0
3491,who kept the most famous diary in the english language,1
7169,what sport feature slotbacks tailback and touchback,1
54,a man playing a bass on stage,0
1236,what are the major difference in the catholic and methodist religion,1
1933,what is the folklore story regarding bird nest and bird in tree,1
3558,there is no plot or storyline,0
622,what is a jellicle cat,1
5864,on were and married,1
3602,i think that it is a must see older film,0
3218,enty plant what shrub can be planted that will be safe from deer,1
3377,enty event what war did florence nightingale tend the troop in,1
6134,what famous film and tv cowboy lent his name to a fast food chain,1
1645,man with orange dyed hair playing an electric guitar,0
6441,how wide is the atlantic ocean,1
829,who invented silly putty,1
1420,people are walking on the sidewalk along the parking lot in front of a home improvement store,0
3467,the performance are not improved by improvisation because the actor now have twice a much to worry about not only whether they delivering the line well but whether the line itself is any good,0
3752,the writer were smack on and i think the best actor and actress were a bonus to the character were so real,0
1375,what are the word to the canadian national anthem,1
4954,what are the valdez principle,1
1719,a young girl sitting at a table with a bowl on her head,0
7510,what alloy do copper and tin form,1
2701,in what country is,1
7159,what program do i need to run a file,1
888,what explorer followed columbus to the america,1
1278,what is pandoro,1
6181,who is section manager for guidance and control system at jpl,1
5761,what disease is the killer of north american,1
7701,what is president birthdate,1
3207,what is a ball that hit the foul pole called,1
121,a man in a brown coat and pant is arranging dead chicken on a mat,0
2350,what percent of world fresh water is found in canada,1
6891,what doe the peugeot company manufacture,1
5433,how large is missouri population,1
2170,this is not a truck it is a bin,0
8443,where can i find information on becoming a journalist,1
6121,what is the origin of the word sideburn,1
4753,what is a fear of fur,1
5897,what are the chance of pregnacy if the penis doe not penetrate the vagina,1
1498,a man on a rocky beach wearing a black bathing suit staring at the water,0
3066,much le than the jawbone i wa going to replace it with,0
5918,what are the number that fit into fermont last theorem,1
3005,sprint charge for this service,0
2120,who sings from the,1
963,what is the definition of low island,1
932,why did the world enter a global depression in,1
6283,what are you caught in if a haboob blow up,1
2993,what possesed me to get this junk i have no idea,0
1428,what country northernmost city is,1
3307,abbr exp what doe nasdaq stand for,1
642,a man wearing a yellow helmet is riding on his red motorcycle,0
4622,how long did it take to find livingstone,1
1238,these fisherman are on a boat out to sea,0
18,what is nine inch nail,1
2192,which language ha the most word,1
2910,what did mighty mouse always sing a he went into action,1
3919,enty event what astronomical phenomenon take place in,1
1322,a little blond girl with a pink coat hide in a tree,0
4721,mississippi is nicknamed what,1
384,what is the function of ram,1
3770,there wa a few pathetic attempt to give the character some depth but it did really work into the rest of the plot,0
6567,what the setting for tv the adventure of robin hood,1
8386,what is platinum,1
1033,a construction worker looking at his cup of coffee,0
6309,how many byte are in a terabyte,1
978,which of the following men wa not married to,1
8008,when wa the first successful heart transplant for a human,1
7840,what doe a pedometer measure,1
4367,at a time when it seems that film animation ha been dominated by cgi masterpiece it is both refreshing and comforting to know that is still relying on traditional animation to tell his charming and enchanting story,0
3463,one character is totally annoying with a voice that give me the feeling of fingernail on a chalkboard,0
225,a man is walking by a pole with a no pet sign,0
8370,what colorful sea region doe greek legend say the amazon lived near,1
5289,what is the stock high of apple computer and where can i find this information,1
265,what european city do live in,1
4854,what were the three prophecy the witch make to,1
6396,what is the best brand for a laptop computer,1
1892,what are amaretto biscuit,1
2841,restored my phone to like new performance,0
3447,how do i tie dye clothes,1
117,how much money doe a back injury lawsuit get,1
2814,what doe art mean,1
2220,this is not a beaver it is an otter,0
1613,a black male is beside a building with a sign on the building,0
2524,who wa the first actress to appear on a postage stamp,1
3175,what indian tribe is f troop perpetually doing battle with,1
7126,what company named one of it pen the banana,1
1765,what is the origin of the peace symbol,1
896,two people walking on the street with lot of bare tree around and snow on the ground,0
594,what baseball star turned down a 1 contract because he felt he had earned it,1
1400,a male saxophone player belt out a song in the dim light of a local establishment,0
8021,what female faith healer wrote the inspirational book i believe in miracle,1
991,man in black shirt waiting with luggage,0
7465,which type of submarine wa bought recently by south korea,1
4150,meredith m wa better than all right,0
6858,what are the top 10 college in the united state in the field of engineering,1
2529,what is a hydrogen bond,1
3643,where is trinidad,1
4185,if you want a real scare rent this one,0
3003,what fowl grab the spotlight after the chinese year of the monkey,1
1649,whom did lauren bacall marry after her husband died,1
7107,what country is the largest diamond producer,1
1514,two child are on a bed while playing with some toy,0
1696,girl playing softball a one girl run to a base and second girl reach out her glove,0
3773,who wa the democratic nominee in the american presidential election,1
2045,this is not garlic it is a flavouring,0
7201,what wa last film,1
2780,who wa the president of vichy france,1
2143,what ocean wa flying over when she disappeared,1
4369,name the university of which wa president,1
2621,what age is,1
4307,what is the goat population of the world,1
5259,on which date is the ukrainian,1
1282,two woman and a baby in a stroller in front of a store,0
4499,how far is london uk from california,1
4,what is the full form of,1
3036,i used bitpim a free program you can find on the internet to transfer data to the price of the cable wa excellent,0
7001,how far is the longest hole in 1 on any golf course and where did it happen,1
1483,young men perform in a band indoors,0
7323,what is interlata internet service,1
1398,how do storm form,1
2770,battery life is also great,0
4263,where wa the first restaurant,1
1008,one woman hold a pen about to write on a piece of paper held by another woman,0
734,what county is chicago in,1
6964,when did become prime minister,1
5030,who run favorite pub,1
3572,this film ha no redeeming feature,0
219,two guy are wearing matching uniform,0
6213,what is a fear of going to bed,1
4928,what were the olympic game played in where nadia comaneci became popular,1
634,what wa the name of the movie that starred and,1
2381,whose funeral train traveled from washington to springfield illinois,1
1926,the major league baseball team in pittsburgh is called what,1
3573,what fastener did patent in,1
976,a smiling blond girl with a red striped shirt is sitting in a chair at a table with a white porcelain bowl on her head,0
5365,what the meaning of the zoological term ruminant,1
1401,a man play the saxophone in a dark room lit with a red light,0
2367,this is not a coat it is an overcoat,0
693,what did say upon hearing he would receive the nobel prize in physic,1
2009,what wa the name of the american ship sunk by a mine in havana harbor causing the war,1
7442,who portrayed rommel in the desert fox,1
6983,what town wa the setting for the music man,1
5457,who is count cinzano,1
6702,what the staff of life mentioned in the lord prayer,1
6197,how many airline school are there in the,1
1503,two guy are sitting playing chess,0
3986,who said i shall return during world war two,1
60,where is the loop,1
4209,in did gain power of germany,1
3180,where can i find pictorial direction on how to build a very simple treehouse,1
3254,when did the berlin wall go up,1
3130,ha the best customer service anywhere,0
1178,a blond woman show her profile in front of a white luxury car,0
1886,what is a person called that like fire,1
3720,i love it,0
2723,good item low price,0
867,what american league baseball team worst finish wa fourth,1
4706,how many people were executed for assassination,1
2650,what is the principal river of ireland,1
3019,what is an annotated bibliography,1
3902,cinematography noteworthy including fine view of barcelona and it famed gaudi tower,0
5655,what cable network bill itself a the family entertainer,1
3475,if you want a movie that not gross but give you some chill this is a great choice,0
6753,how can i gain access to a spy satelite,1
7720,what the oldest capital city in the america,1
6454,who created the muppets,1
34,how many community chest card are there in monopoly,1
2212,who lead the star ship enterprise in star trek,1
7061,where is qatar,1
4451,what is the origin of the midwest slang you darn tootin,1
66,what is a caldera,1
373,a man walking out of a portable bathroom,0
3119,my phone doe slide around my car now and the grip prevents my phone from slipping out of my hand,0
4596,what are,1
5388,where is birthplace,1
1629,a woman and a child sitting in a huge strawberry,0
463,man with lot of tattoo and no shirt wearing a skirt,0
3316,work for me,0
6105,what nationality is pope,1
6430,what tv character sired a horse named thunder,1
6688,what wa the great britain population from,1
1498,what is the largest natural lake in pennsylvania,1
1209,an asian girl looking surprised in front of a brick window,0
1942,what animal occurs in jaw,1
825,what city house the headquarters of procter and gamble,1
3722,what,1
3624,what is of microsoft address,1
6721,what wa the rallying cry of the early american revolutionary,1
3235,how many revolution doe a standard lp make in three minute,1
750,what doe the name mean,1
1182,what is the origin of blue for boy and pink for girl,1
569,a man is playing guitar and singing into a microphone,0
1141,a little girl in a blue dress climbing on some old wood,0
6344,who wa the first american citizen awarded the albert medal of the society of art,1
4257,abbr exp what doe the abbreviation cwt,1
2037,what took first prize in omni magazine contest to find the ultimate unanswerable question,1
3848,wow what a bad film,0
5221,what wa the name of son,1
2455,i even dropped this phone into a stream and it wa submerged for 5 second and it still work great,0
5668,how did the war of affect delaware,1
3757,what is the longest place name in the,1
4138,enty plant what flower did paint,1
3651,the acting sucked,0
3373,where doe chocolate come from,1
2178,what the nearest star to earth,1
6229,what mediterranean island is home to the first club med,1
184,people are sitting at table and some are looking at a dog balloon,0
7160,what is the seafaring name for the southern tip of south america,1
1846,a crowd enjoying a beautiful day at a park possibly on a famous holiday,0
3063,what is titanium,1
1010,how many canadian emmigrate,1
5832,what time of year ha the most air travel,1
925,a group of people sitting in a semicircle are talking into microphone,0
3053,where did the term come from,1
661,name a tiger that is extinct,1
533,who invented baseball,1
1088,a snowboarder ride a rail on the cement handrail of step with snow all around,0
1061,what bird can swim but can fly,1
4012,omit watching this,0
1353,how much doe the president get paid,1
8369,who played on the,1
5068,what is a fear of odor body,1
1339,two woman are reviewing a paper,0
4620,what actor dressed up a and had a affair with actress every for many year,1
1305,two young girl making upside down cupcake shape in the sand,0
140,where is the orinoco,1
6569,what are the top 5 fiction book of all time,1
3614,what animal do you find in the stock market,1
943,what two country share the khyber pas,1
6854,who wa the first person to study the star,1
4178,the plot is nonsense that doe interest in the slightest way or have any uniqueness to it,0
2772,what card company sell ornament,1
7757,what are fortune 500 company,1
2607,how many of every 10 member of the rodeo cowboy association have never worked a ranch,1
1304,what costume designer decided that should only wear one glove,1
1058,in which movie did sioux indian play a role,1
2272,how doe describe her life in beauty and the beast,1
936,a marathon runner wearing a numbered bib is running up a two lane street trailed by a car and motorcycle a spectator holding umbrella look on,0
1631,how many people died because of a smoking problem in,1
3102,what did do to hair,1
2386,which of the following did not receive a outstanding mother award from the national mother day committee,1
4204,how many question are on this thing,1
2862,what is,1
3171,in wa elected president of france,1
4466,what is the origin of the atom,1
3090,i have to use the smallest earpiece provided but it stay on pretty well,0
1010,two woman with short hair are discussing something,0
2151,what are different product of petroleum,1
7666,what are the major company that are part of dow jones,1
7554,why is called,1
8334,what the world most common compound,1
1358,what the northernmost state apart from alaska,1
7502,what doe do for a living,1
4328,i rate this movie,0
6677,what doe a red flag mean in auto racing,1
1544,what the meaning of uol,1
4192,where can i buy a hat like the kind from wear,1
2350,this is not a chair it is a treasurer,0
3945,i terribly disappointed that this film would receive so many award and accolade especially when there are far more deserving work of film out there,0
1463,a busy market street in a city,0
1294,what wa a mae west on a world war ii battleship,1
3170,i get absolutely horrible reception in my apartment where with other phone i have not had this problem,0
2961,if you are looking for a good quality motorola headset keep looking this is it,0
7118,what kind of mammal is a colt,1
378,boy flying a distant kite,0
3184,why do horseshoe bring luck,1
1085,a black girl in a purple jacket is looking at a book a she sits on a colorful chair,0
1290,what the most common nickname of college football team,1
3261,abbr exp cnn is the abbreviation for what,1
2572,the file browser offer all the option that one is great,0
747,what happened during,1
8275,what international organization wa founded by,1
6729,name of king sword,1
2679,how many pair of wing doe a tsetse fly have,1
8392,which airplane wa convicted of hijacking,1
849,two girl are walking by a tree in front of a brick building,0
126,a family getting ready to enjoy a strawberry shortcake,0
773,three bicyclist race around a curve,0
2598,what is the main ingredient of yogurt,1
1077,what wa the favorite sport of the pump house gang,1
7649,who succeeded a first secretary of the communist party,1
7265,how many eye doe a bat have,1
6997,what company ha built more than billion little green house since,1
4005,what famous singing cowboy owns the california angel baseball team,1
6217,what country would you visit to ski in the dolomite,1
8081,what heavyweight boxer wa known a the wild bull of the pampas,1
272,what color bottle do good rhine wine come in,1
5519,name a civil war battlefield,1
5321,wa compared to whom by president,1
2240,how many mile is it from london england to plymouth england,1
1575,two kid riding on sled,0
2502,what is,1
1690,where can one find mozambique,1
4526,who created the comic strip,1
195,who created dennis the menace,1
6041,what mythical figure carry an hourglass and a scythe,1
6538,in who have the mvp player for the nhl been,1
3960,when are sheep shorn,1
5694,whose special bear creator wa born on,1
375,what soviet leader owned a,1
4590,what nazi leader killed himself in jail just before he wa to be executed a a war criminal,1
17,a man in a white shirt is holding a saw standing next to a tree and a child,0
5612,what is the longest english word that can be formed using just the first row of letter on a typewriter,1
4635,who claim to have the greatest show on earth,1
23,people are walking up and down the street,0
8117,how did water appear on the earth,1
5931,who wa the lawyer who represented,1
3570,i certainly do not mean this distinction in a good way,0
5932,what country buy 25 percent of the world tea export,1
8164,what the difference between tft and display,1
4166,how do you tell your parent you are dating an older man,1
7673,what is last chance for animal,1
1440,two uniformed police officer are holding large gun while an older man sits on the stair holding his hat and looking on,0
7228,how many side doe an obelisk have,1
6537,loc state what state doe the continental divide leave to enter canada,1
6424,how many people lived in nebraska in,1
2634,best bluetooth on the market,0
4904,what is the definition of cosmology,1
2902,i wear glass and it fit fine with them,0
5200,what is the origin of the city corpus christi,1
1969,one man wearing glass sits in front of an apple computer and drink from a cup while another man wearing a cap and glass stand in front of a microphone,0
5845,when did the carolingian period begin,1
7090,what business or agency would do an employment verification,1
940,three small child are playing with a yellow toy on a tiny green table,0
2001,how do you address a chinese person,1
8268,how much time doe the blinking of an eye take,1
3444,the story itself is just predictable and lazy,0
4380,which one of the original seven mercury program astronaut did not fly on any of the mercury flight,1
4105,the fat computer geek wa unbelievable the bible thumper the girl who are these actor,0
2579,what beer tell u grab all the gusto you can get,1
3532,what is the telephone number for the university of kentucky,1
3856,who wa lauren bacall first husband,1
5238,what doe hazmat stand for,1
541,who wa shot in the back during a poker game in deadwood the dakota territory,1
316,what state is buried in,1
487,a group of people playing a board game,0
5176,how many layer doe a bottle of settle into,1
814,a little girl in a red pull over holding a toy in both hand smiling,0
1088,what did invent,1
3545,how many college are in wyoming,1
152,how many bend are there in a standard paper clip,1
2818,what novel deal with fear,1
2,a woman walking a bike down a busy sidewalk,0
1545,what future president became senate majority whip under,1
7117,when did the supercontinent pangaea break up,1
490,people gathered in a room to talk about their favorite tune,0
7775,what two city usually mark the extreme of english channel swim,1
6359,what senator once played basketball for the new york knicks,1
3503,very disappointing,0
1555,a young lady holding a golf club above her head,0
3621,how did shipyard inspector designate equipment a being satisfactory,1
2513,what is the difference between college and graduate school,1
1380,which one of the original seven mercury program astronaut did not fly on any of the mercury flight,1
302,what board game doe a play poorly,1
4396,exceptionally bad,0
4950,enty techmeth what are the various way in which one can measure it user satisfaction level,1
2125,what information can you tell me about actor,1
7933,how much stronger is the new vitreous carbon material invented by the tokyo institute of technology compared with the material made from cellulose,1
2854,what color is blood,1
4069,raw and sublimely moving,0
4863,how doe one correctly pronounce qigong,1
2585,great phone,0
1262,who advised listener to see the in your chevrolet,1
2472,where did the inuit live,1
2111,this is not a swan it is a crow,0
1663,a man teach a classroom of child,0
4976,enty event what is celebrated during,1
5802,where is the world championship sled dog race held each,1
3122,how is the election of a new pope announced to the world,1
2440,nice headset priced right,0
6465,what dropped 1 313 foot in,1
5350,what percent of world fresh water is found in canada,1
7713,who did napolean defeat at jena and,1
497,a little girl in a blue dress climbing on some old wood,0
486,a group of people are sitting in a circle enjoying themselves,0
6230,what doe an edentulous smile lack,1
7300,why is the mile 528 foot,1
2564,what is birthstone,1
5503,why is famous,1
2375,this is not a scooter it is a handcart,0
6467,what two u biochemist won the nobel prize in medicine in,1
7983,loc state what state do not have state income tax,1
7437,what part of britain comprises the highland central lowland and southern upland,1
6557,what is the origin of the term buffalo wing that is used a a menu item in bar across the nation for chicken wing in a spicey sauce,1
4239,i still trying to get over how bad it wa,0
1725,what are name of two old men who appear in the serial tv muppets show,1
2494,if you plan to use this in a car forget about it,0
5500,abbr exp what doe shield stand for,1
3883,what breed of dog wa the little rascal dog,1
4144,in fact i liked it better than interview with a vampire and i liked this lestat stuart townsend better than cruise attempt,0
4426,what did 8 cd nns vbp to vb nnp po nn,1
5444,where is,1
127,a man cutting a cake while two little girl watch,0
1323,what animal did the amazing three masquerade a,1
1062,three male are sitting on a sofa with beer on a table in front of them,0
2987,i got the car charger and not even after the charger wa broken i went to plug it in and it started smoking,0
1798,what season is the setting for midsummer night dream,1
3164,but now that it is out of warranty the same problem line put your money somewhere else cingular will not support it,0
1862,the old man is sitting alone in the park possibly eating a snack or lunch,0
554,a group of people are sitting together at a picnic table,0
168,in did become prime minister,1
1120,a dog standing up on two leg with something in his mouth,0
7858,what member of the little rascal ha an sweetheart in,1
721,a man in a black shirt is playing golf outside,0
4335,they are so easy to love but even more easy to identify with,0
3562,name a film in which acted,1
6094,what element from the periodic table is a gas or a solid but never a liquid,1
3040,how can i register my website in yahoo for free,1
2454,very disappointed,0
4122,who provides telephone service in orange county california,1
3237,i have bought this nokia cell phone and it wa a nightmare,0
2115,this is not a freezer it is test,0
396,what is dry ice,1
7296,how much can a person be fined for having a dog on a beach,1
2633,one of my favorite purchase ever,0
1021,a young woman dressed in black walking on pavement in front of a lake,0
446,what field sport did dentist promote and write a standard book of rule for,1
208,what make hamburger taste like steakburgers,1
4215,you will leave the theater wanting to go out and dance under the star,0
1705,when wa born,1
6871,what are the benefit of home school,1
7317,what team did play his first major league game for,1
4026,i thought wa brilliant a and ha since become my favourite actor,0
5245,what are the environmental influence on plant genetics,1
4390,lange had become a great actress,0
241,what rum is so mixable it is a bar,1
7316,what ha to be produced in a writ of habeas corpus,1
7562,which large city had the highest murder rate for,1
222,a group of young adult come together to perform song complete with drum and a guitar,0
3513,the scene with the are a misplace,0
4453,what are the seven sea,1
5949,cnn is owned by whom,1
4068,this is a stunning movie,0
5935,what is the origin of the word mushroom,1
2040,what author of the day of our life cookbook signed on in 198 a in tv day of our life,1
4656,what year did create the bronze sculpture fourth position front,1
5280,what is a camel hair brush actually made out of,1
3055,the handsfree part work fine but then the car try to download the address book and the treo i still rate this device high,0
7027,what type is a snail,1
6305,who is the nebbish that is marvel official mascot,1
2206,where are the union stockyard,1
5281,what is the socratic method,1
1755,what part of their attire were pothook to cowboy of the old west,1
4958,what is the origin of the word assassinate,1
1056,what president dispatched a cruiser to carry home after his epic flight,1
6341,abbr exp what doe vcr stand for,1
3072,what doe the musca domestica become when it enters a house,1
6114,where is the bull basketball team based,1
5174,what is the last name of and from the peanut comic strip,1
1264,where can i find full written draft of ctbt,1
1602,what do camel store in their hump,1
859,some expat celebrate and wave red flag,0
2829,it find my cell phone right away when i enter the car,0
2644,excellent wallet type phone case,0
3686,where is the kentucky horse park located,1
4431,what kentucky city call itself the horse center of america,1
4174,why wa this film made,0
3162,wont work right or atleast for me,0
7902,who were the only two bald president,1
833,a dog swim in the pool while another dog watch from the deck,0
1782,two friend having a laugh,0
181,a yellow labrador running with it ear flopping,0
866,two adult and a child wait to cross a street,0
2564,doe work at i bougth it for my and it not working,0
1532,who is the current prime minister and president of russia,1
6815,why do ocean contain salt water instead of fresh water,1
4732,what ever happened to the once popular yale lock company,1
3132,what is a film starring,1
8377,rotary engine car were made by what company,1
1563,police and the crowd look on in asia,0
2058,what triple horse took the belmont stake by 31 length,1
3460,who wrote the night of the iguana,1
11,why do heavier object travel downhill faster,1
7780,what wa theme song,1
7477,who is the president of ghana,1
1308,what company wa the original sponsor of tv superman,1
1845,what is middle name,1
3439,i wa the least bit interested,0
6179,what color make up a rainbow,1
1924,a man in black rimmed glass and a blue button down shirt and a woman in a black and white tank top laugh together,0
1422,people taking a walk on a path in a shopping center,0
7328,what is alternative anymore,1
1321,what is the former name of zimbabwe,1
6434,who killed,1
5309,how do you convert to,1
6349,how many zero are there in a trillion,1
137,a group of woman with black binder stand in front of a group of people,0
1196,small child in lavender coat flip through a paperback book while sitting on a multicolored bench in front of classroom supply,0
7700,what are some translation of the phrase,1
510,a woman on a lounge chair is lying on the beach,0
311,people standing outside of a building,0
4243,what doe la vega mean,1
1990,a man and a woman are smiling,0
7266,how do you say 2 in latin,1
1562,a crowd of people behind the fence waiting with camera ready for something approaching,0
3035,what do mormon believe,1
3879,what wa the occupation of,1
3145,how many hostage were killed in the raid,1
306,who ha won the most super bowl,1
2024,what is the music used in the new vw beetle commercial where the car spin and change color,1
6452,who is,1
3274,who wa the president of the united state,1
7309,what is the correct way to abbreviate cc at the bottom of a business letter,1
2348,what film canine is buried in cemetery in paris,1
644,name the organization that is presided by a security council,1
4661,who created the fantastic four and thor,1
418,what nevada center ha been dubbed the biggest little city in the world,1
600,a man is standing in the doorway of a building with a large mural portrait of a woman on the wall outside,0
7944,how many row of whisker doe a cat have,1
7381,what is the largest city in texas,1
